"Agency Code","Agency Name","Bureau Code","Bureau Name",2013,2014
V,"Buitenlandse Zaken",44,"Consulaire belangenbehartiging",0,53291
V,"Buitenlandse Zaken",2,"Grotere veiligheid en stabiliteit en humanitaire hulp",7765,0
V,"Buitenlandse Zaken",11,Algemeen,759974,0
V,"Buitenlandse Zaken",3,"Europese samenwerking",7580467,0
V,"Buitenlandse Zaken",41,"Internationale rechtsorde en eerbiediging mensenrechten",0,106237
V,"Buitenlandse Zaken",1,"Internationale rechtsorde en mensenrechten",114886,0
V,"Buitenlandse Zaken",9,Geheim,0,0
V,"Buitenlandse Zaken",7,"Welzijn en veiligheid van Nederlanders in het buitenland",24964,0
V,"Buitenlandse Zaken",5,"Toegenomen menselijke ontplooiing en sociale ontwikkeling",1078152,0
V,"Buitenlandse Zaken",46,"Nominaal en onvoorzien",0,67011
J,Deltafonds,6,"Bijdrage ten laste van begroting Hoofdstuk XII",0,0
J,Deltafonds,2,"Investeren in zoetwatervoorziening",32117,3863
J,Deltafonds,1,"Investeren in waterveiligheid",536712,827890
J,Deltafonds,4,"Experimenteren cf. art.111 Deltawet",0,0
J,Deltafonds,3,"Beheer, Onderhoud en vervanging",15615,176257
J,Deltafonds,5,"Netwerkgebonden kosten en overige uitgaven",247581,222828
VI,"Veiligheid en Justitie",32,"Rechtspleging en rechtsbijstand",1522621,1509230
VI,"Veiligheid en Justitie",29,"Inspectie openbare orde en veiligheid",0,0
VI,"Veiligheid en Justitie",33,"Veiligheid en criminaliteitsbestrijding",768902,742753
VI,"Veiligheid en Justitie",34,Sanctietoepassing,2242335,2271998
VI,"Veiligheid en Justitie",36,"Contraterrorisme en Nationaal Veiligheidsbeleid",205242,253413
VI,"Veiligheid en Justitie",91,"Apparaatsuitgaven kerndepartement",357813,410369
VI,"Veiligheid en Justitie",21,"Contraterrorisme- en nationaal veiligheidsbeleid",0,0
VI,"Veiligheid en Justitie",37,Vreemdelingen,0,681201
VI,"Veiligheid en Justitie",31,"Nationale Politie",5220150,5155411
VI,"Veiligheid en Justitie",13,"Rechtshandhaving, criminaliteits- en terrorismebestrijding",0,0
VI,"Veiligheid en Justitie",35,Jeugd,804892,738464
VI,"Veiligheid en Justitie",92,"Nominaal en onvoorzien",71917,41965
VI,"Veiligheid en Justitie",12,"Rechtspleging en rechtsbijstand",0,0
VI,"Veiligheid en Justitie",14,Jeugd,0,0
VI,"Veiligheid en Justitie",25,"Veiligheid en bestuur",0,0
VI,"Veiligheid en Justitie",93,Geheim,3057,3057
VI,"Veiligheid en Justitie",23,"Veiligheidsregio's en politie",0,0
F,Diergezondheidfonds,1,"Bewaking en bestrijding van dierziekten",97,10900
IXA,"Nationale Schuld",1,"Financiering staatsschuld",42055423,41562811
IXA,"Nationale Schuld",2,Kasbeheer,8867626,7178511
XVI,"Volksgezondheid, Welzijn en Sport",42,Gezondheidszorg,8060715,0
XVI,"Volksgezondheid, Welzijn en Sport",45,Jeugdzorg,1533547,0
XVI,"Volksgezondheid, Welzijn en Sport",43,"Langdurige Zorg",4618288,0
XVI,"Volksgezondheid, Welzijn en Sport",5,Jeugd,0,1551126
XVI,"Volksgezondheid, Welzijn en Sport",3,"Maatschappelijke Ondersteuning en Langdurige Zorg",0,4193291
XVI,"Volksgezondheid, Welzijn en Sport",7,"Oorlogsgetroffenen en Herinneringen Tweede Wereldoorlog",0,327802
XVI,"Volksgezondheid, Welzijn en Sport",1,Volksgezondheid,0,497952
XVI,"Volksgezondheid, Welzijn en Sport",4,"Zorgbreed Beleid",0,697717
XVI,"Volksgezondheid, Welzijn en Sport",97,Algemeen,27936,0
XVI,"Volksgezondheid, Welzijn en Sport",10,Apparaatsuitgaven,0,222775
XVI,"Volksgezondheid, Welzijn en Sport",6,"Sport en Bewegen",0,132421
XVI,"Volksgezondheid, Welzijn en Sport",96,Apparaatsuitgaven,225639,0
XVI,"Volksgezondheid, Welzijn en Sport",9,Algemeen,0,30748
XVI,"Volksgezondheid, Welzijn en Sport",44,"Maatschappelijke Ondersteuning",18788,0
XVI,"Volksgezondheid, Welzijn en Sport",2,"Curatieve Zorg",0,2733958
XVI,"Volksgezondheid, Welzijn en Sport",46,Sport,135,0
XVI,"Volksgezondheid, Welzijn en Sport",47,"Oorlogsgetroffenen en herinnering WO II",331574,0
XVI,"Volksgezondheid, Welzijn en Sport",41,Volksgezondheid,617397,0
XVI,"Volksgezondheid, Welzijn en Sport",99,"Nominaal en onvoorzien",-26659,0
XVI,"Volksgezondheid, Welzijn en Sport",11,"Nominaal en Onvoorzien",0,-36814
XVI,"Volksgezondheid, Welzijn en Sport",8,"Tegemoetkoming Specifieke Kosten",0,4466171
Iib,"Overige Hoge Colleges van Staat",7,"Kabinet van de Gouverneur van Curaçao",2786,2815
Iib,"Overige Hoge Colleges van Staat",4,"Kanselarij der Nederlandse Orden",3424,3999
Iib,"Overige Hoge Colleges van Staat",8,"Kabinet van de Gouverneur van Sint Maarten",2119,2043
Iib,"Overige Hoge Colleges van Staat",3,"De Nationale Ombudsman",1525,15581
Iib,"Overige Hoge Colleges van Staat",2,"Algemene Rekenkamer",28895,29841
Iib,"Overige Hoge Colleges van Staat",1,"Raad van State",57417,59650
Iib,"Overige Hoge Colleges van Staat",10,"Nominaal en onvoorzien",191,0
Iib,"Overige Hoge Colleges van Staat",5,"Kabinet van de Gouverneur van de Nederlandse Antillen",0,0
Iib,"Overige Hoge Colleges van Staat",6,"Kabinet van de Gouverneur van Aruba",1865,1784
VII,"Binnenlandse Zaken",73,"Nominaal en onvoorzien",11823,1229
VII,"Binnenlandse Zaken",70,Vreemdelingen,7332,0
VII,"Binnenlandse Zaken",61,"Openbaar bestuur en democratie",25102,32629
VII,"Binnenlandse Zaken",66,"Dienstverlenende en innovatieve overheid",125848,104758
VII,"Binnenlandse Zaken",72,Algemeen,442,2164
VII,"Binnenlandse Zaken",65,"Integratie en maatschappelijke samenhang",172387,0
VII,"Binnenlandse Zaken",68,"Kwaliteit Rijksdienst",2938,0
VII,"Binnenlandse Zaken",64,"Woonomgeving en bouw",32639,0
VII,"Binnenlandse Zaken",71,"Centraal Apparaat",311023,192827
VII,"Binnenlandse Zaken",67,"Arbeidszaken overheid",43177,38897
VII,"Binnenlandse Zaken",74,VUT-fonds,210,70000
VII,"Binnenlandse Zaken",69,"Uitvoering Rijkshuisvesting",59207,0
VII,"Binnenlandse Zaken",63,Woningmarkt,2832443,0
VII,"Binnenlandse Zaken",62,"Algemene Inlichtingen- en Veiligheidsdienst",199621,188892
III,"Algemene Zaken",5,"Cie v. Toez. I&V",1075,1076
III,"Algemene Zaken",1,"Bevorderen eenheid regeringsbeleid",58687,57085
III,"Algemene Zaken",4,"Kabinet van de Koning",2402,2331
XIII,"Economische Zaken",12,"Een sterk innovatievermogen",795764,814790
XIII,"Economische Zaken",11,"Goed functionerende economie en markten",219931,197794
XIII,"Economische Zaken",41,"Nominaal en onvoorzien",29773,250
XIII,"Economische Zaken",13,"Een excellent ondernemingsklimaat",366134,319466
XIII,"Economische Zaken",15,"Een sterke internationale concurrentiepositie",112104,0
XIII,"Economische Zaken",14,"Een doelmatige en duurzame energievoorziening",1312815,1538633
XIII,"Economische Zaken",16,"Een concurr., duurz.en veilige agro-, viss.- en voedeselket.",517397,565726
XIII,"Economische Zaken",18,"Natuur, regio en ruimte",689737,432349
XIII,"Economische Zaken",40,Apparaat,408944,367581
XIII,"Economische Zaken",17,"Groen onderwijs van hoge kwaliteit",776575,795701
Iia,"Staten Generaal",1,"Wetgeving en controle Eerste Kamer",11434,11589
Iia,"Staten Generaal",4,"Wetgeving en controle Eerste en Tweede Kamer",1561,2506
Iia,"Staten Generaal",3,"Wetgeving en controle Tweede Kamer",93784,93051
Iia,"Staten Generaal",2,"Uitgaven tbv van (oud) leden Tweede Kamer en leden EP",31915,32206
Iia,"Staten Generaal",10,"Nominaal en onvoorzien",-297,-1252
IXB,Financiën,21,"Centraal Apparaat",204189,204688
IXB,Financiën,7,"Beheer materiele activa",8458,306
IXB,Financiën,1,Belastingen,3244427,3297439
IXB,Financiën,5,"Exportkrediet- en investeringsverzekering",113106,110006
IXB,Financiën,6,BTW-Compensatiefonds,2895357,2816420
IXB,Financiën,2,"Financiele Markten",59938,57004
IXB,Financiën,3,"Financ. act. Publiek-Private sector",1994237,1652866
IXB,Financiën,4,"Internationale Fin. Betrekkingen",2323757,1119514
IXB,Financiën,10,"Nominaal en onvoorzien",7008,3425
A,Infrafonds,18,"Overige uitgaven en ontvangsten",273614,235032
A,Infrafonds,19,"Bijdrage andere begrotingen Rijk",0,0
A,Infrafonds,16,"Megaprojecten niet-Verkeer en Vervoer",0,0
A,Infrafonds,14,"Regionaal, lokale infra",135983,241969
A,Infrafonds,12,Hoofdwegennet,2728863,2800084
A,Infrafonds,17,"Megaprojecten Verkeer en Vervoer",54157,24368
A,Infrafonds,11,Hoofdwatersystemen,0,0
A,Infrafonds,15,Hoofdvaarwegennet,84412,895163
A,Infrafonds,13,Railwegen,2197753,2397939
B,Gemeentefonds,1,Gemeentefonds,17963120,18381232
VIII,"Onderwijs, Cultuur en Wetenschap",95,Apparaatskosten,245973,234723
VIII,"Onderwijs, Cultuur en Wetenschap",91,"Nominaal en onvoorzien",-818,5367
VIII,"Onderwijs, Cultuur en Wetenschap",16,"Onderzoek en wetenschappen",88552,895771
VIII,"Onderwijs, Cultuur en Wetenschap",13,Lesgelden,7,7012
VIII,"Onderwijs, Cultuur en Wetenschap",11,Studiefinanciering,4039626,4231184
VIII,"Onderwijs, Cultuur en Wetenschap",12,"Tegemoetkoming studiekosten",115298,114872
VIII,"Onderwijs, Cultuur en Wetenschap",1,"Primair onderwijs",9727312,9555294
VIII,"Onderwijs, Cultuur en Wetenschap",14,Cultuur,789155,720522
VIII,"Onderwijs, Cultuur en Wetenschap",25,Emancipatie,15494,14792
VIII,"Onderwijs, Cultuur en Wetenschap",4,"Beroepsonderwijs en volwasseneneducatie",3500665,3802465
VIII,"Onderwijs, Cultuur en Wetenschap",8,"Internationaal onderwijsbeleid",16969,13421
VIII,"Onderwijs, Cultuur en Wetenschap",6,"Hoger beroepsonderwijs",2464254,2576472
VIII,"Onderwijs, Cultuur en Wetenschap",9,"Arbeidsmarkt en personeelsbeleid",422534,386420
VIII,"Onderwijs, Cultuur en Wetenschap",7,"Wetenschappelijk onderwijs",3894582,4033802
VIII,"Onderwijs, Cultuur en Wetenschap",15,Media,876224,977571
VIII,"Onderwijs, Cultuur en Wetenschap",3,"Voortgezet onderwijs",7074820,7229225
